Country,Code,Year,LifeExpectancy,GDP per capita,Population,Continent,PrintName
Afghanistan,AFG,2018,63.081,1934.555,36686788,Asia,
Albania,ALB,2018,79.1838,11104.166,2877019,Europe,
Algeria,DZA,2018,76.0656,14228.025,41927008,Africa,
Angola,AGO,2018,62.1438,7771.442,31273538,Africa,
Argentina,ARG,2018,76.9994,18556.383,44413592,South America,
Armenia,ARM,2018,75.0645,11454.425,2836563,Asia,
Australia,AUS,2018,83.3871,49830.8,24979228,Oceania,
Austria,AUT,2018,81.6862,42988.07,8840518,Europe,
Azerbaijan,AZE,2018,72.7601,16628.055,10152524,Asia,
Bahrain,BHR,2018,79.8566,39498.766,1487346,Asia,
Bangladesh,BGD,2018,72.5675,4099.253,163683952,Asia,TRUE
Barbados,BRB,2018,77.067,11995.187,279702,North America,
Belarus,BLR,2018,74.5676,18727.318,9695573,Europe,
Belgium,BEL,2018,81.4787,39756.203,11448598,Europe,
Benin,BEN,2018,60.1403,2220.1765,11940688,Africa,
Bolivia,BOL,2018,67.748,6695.7744,11606906,South America,
Bosnia and Herzegovina,BIH,2018,77.0926,10460.5205,3400132,Europe,
Botswana,BWA,2018,65.4224,15842.13,2451411,Africa,
Brazil,BRA,2018,75.1095,14033.565,210166592,South America,
Bulgaria,BGR,2018,74.8983,18444.26,7117424,Europe,
Burkina Faso,BFA,2018,60.0466,1589.6241,20392730,Africa,
Burundi,BDI,2018,61.6884,651.3589,11493476,Africa,
Cambodia,KHM,2018,70.5609,3628.561,16025242,Asia,
Cameroon,CMR,2018,61.1798,2888.046,25076752,Africa,
Canada,CAN,2018,82.0508,44868.742,37035260,North America,
Cape Verde,CPV,2018,75.7331,6831.216,571209,Africa,
Central African Republic,CAF,2018,54.3693,623.4889,5094795,Africa,
Chad,TCD,2018,52.8253,2046.3632,15604213,Africa,
Chile,CHL,2018,80.1334,22104.766,18701452,South America,
China,CHN,2018,77.7444,13101.706,1417069440,Asia,TRUE
Colombia,COL,2018,76.7479,13545.05,49276968,South America,
Comoros,COM,2018,63.9117,1724.4207,776322,Africa,
Congo,COG,2018,64.0531,5714.592,5441061,Africa,
Costa Rica,CRI,2018,79.4835,14686.254,5040738,North America,
Cote d'Ivoire,CIV,2018,58.8494,3713.6436,25493990,Africa,
Croatia,HRV,2018,78.337,22012.314,4160488,Europe,
Cuba,CUB,2018,77.4962,8325.631,11328243,North America,
Cyprus,CYP,2018,81.382,27184.416,1218834,Europe,
Czechia,CZE,2018,79.0039,30748.508,10534598,Europe,TRUE
