Well_ID,Lat,Lon,Depth,Drink,Si,P,S,Ca,Fe,Ba,Na,Mg,K,Mn,As,Sr,F,Cl,SO4,Br
2,23.74,90.31,45,Y,,,,,,,,,,,,,,,,
14,23.62,90.6,60,Y,,,,,,,,,,,,,,,,
23,23.94,91.46,60,Y,,,,,,,,,,,,,,,,
83,23.8,91.33,50,Y,48084.33842,0.936357892,2085.570979,54666.48199,1.26003112,96.15958734,76.20744929,26.10482495,,1.019154062,78.97747021,253.5286744,0.1669,83.0137,5.6188,0.1512
84,23.98,90.81,150,Y,,,,,,,,,,,,,,,,
93,24.61,90.16,75,Y,,,,,,,,,,,,,0.1269,51.688,0.2817,0.0513
101,24.4,90.26,60,Y,34311.71514,0.117533833,2618.717799,42646.99574,1.843155815,58.66619104,28.28103042,22.578377,,1.192692064,28.07094878,123.0430178,0.1994,38.1123,7.518,0.0552
107,24.02,89.67,45,N,,,,,,,,,,,,,0.0739,48.8797,27.1446,0.0304
110,23.39,91.35,45,Y,47417.95635,1.095644391,113.1809154,46848.09017,11.74044452,131.5829736,23.58598575,20.50116163,,2.091604842,96.8856738,161.5373327,0.1106,38.2706,0.3645,0.0403
112,24.61,91.18,60,Y,37289.99489,2.44864783,13.33539741,65129.07627,8.923465295,134.4352309,15.87262181,24.25973075,,0.528848863,80.62721432,271.2104083,0.2701,29.801,,
116,22.96,89.77,60,Y,,,,,,,,,,,,,,,,
130,22.94,89.97,60,N,44023.88418,1.172085574,1023.167741,80183.25742,6.349396171,159.1716361,32.82276103,27.92693425,,1.671611651,77.00686527,359.6820752,0.1746,78.9229,2.6963,0.0487
153,24.17,90.81,45,Y,40523.43773,0.091675748,2848.048146,40703.88184,1.869485926,69.65771604,29.68487502,21.33323043,,2.291618897,39.24981692,173.4030945,0.0716,35.8091,8.4836,0.0207
156,22.84,91.56,60,N,48375.82211,0.979052747,1420.255478,52694.25919,13.02035241,129.2533869,23.80432312,20.63861379,,3.111450701,131.2489449,232.3408471,0.1152,40.7122,3.8367,0.0397
166,24.03,90.05,45,Y,33494.69003,0.018996143,2633.532071,38750.07338,1.259303475,110.6295024,23.39428718,25.48805349,,0.94885346,0.177276483,120.0059537,0.1755,45.8383,7.4458,0.0288
173,24.11,90.98,45,Y,,,,,,,,,,,,,,,,
176,23.04,90.13,50,Y,,,,,,,,,,,,,,,,
205,24.56,90.45,30,Y,43210.00362,0.98667536,470.3271264,15477.61078,3.824605979,41.86642037,6.021628146,8.982848213,,1.075687285,147.6387886,64.90109789,0.1255,3.7169,1.3301,0.0605
214,22.95,90.06,45,N,,,,,,,,,,,,,,,,
217,24.38,91.46,50,Y,48708.03265,0.945844197,6997.71988,87903.34456,3.705982553,112.9504966,27.38631773,35.65238083,,1.253039388,52.42743437,340.6681139,0.1341,103.4596,20.1312,0.0406
233,23.54,89.91,200,Y,,,,,,,,,,,,,,,,
237,23.85,90.23,60,N,,,,,,,,,,,,,,,,
275,23.87,89.96,55,Y,,,,,,,,,,,,,,,,
279,23.52,91.22,27,Y,,,,,,,,,,,,,,,,
280,23.06,91.28,45,Y,36782.46642,0.780302526,1127.151796,31498.57307,3.270264278,98.15373737,10.31888345,19.2659694,,0.366182873,5.364618679,69.81451079,0.1372,21.501,3.1596,0.0213
283,22.8,91.63,45,N,,,,,,,,,,,,,,,,
287,23.53,91.25,60,Y,,,,,,,,,,,,,,,,
290,23.77,90.8,45,Y,,,,,,,,,,,,,,,,
292,24.33,90.9,35,Y,42622.19874,0.168689224,20790.21056,68071.65372,5.829855723,140.7484872,64.05360433,35.95197864,1151.672673,2.325144967,53.09782887,222.72586,0.1004,129.1747,61.2508,0.0378
295,23.69,90.26,90,N,,,,,,,,,,,,,,,,
330,22.91,89.78,45,Y,36000.95414,0.022212992,1025.890012,33814.41549,0.122545988,68.83176594,22.86522846,25.03908084,,0.515129496,10.23320419,106.1539925,0.1062,35.2777,2.8111,0.0196
333,22.99,91.05,30,Y,,,,,,,,,,,,,,,,
342,23.51,90.44,30,Y,,,,,,,,,,,,,,,,
356,24.49,91.48,60,Y,,,,,,,,,,,,,,,,
374,23.06,90.18,45,Y,53059.88708,0.076472503,12279.05342,63774.09111,1.607349089,106.6021766,18.46908202,26.88711788,1593.646739,3.90213674,18.36559575,313.2934444,0.0603,66.2486,37.48,0.0411
389,22.99,90.89,52,Y,39488.45221,0.218682264,19767.18942,69978.85893,3.207759445,138.8658403,47.40396522,46.76806913,1269.845918,2.184810148,59.28500296,240.62413,0.2339,118.5357,58.2209,0.041
397,24.59,91.17,45,Y,41325.25352,1.695788579,14.48772465,34501.88293,10.63998285,84.41331888,11.46487707,16.33352964,3781.646528,0.729801514,115.8340403,161.5956167,0.2084,6.3352,0.136,0.02
398,23.72,91.3,45,Y,,,,,,,,,,,,,,,,
402,24.35,91.06,30,Y,44810.72004,0.199884273,11621.34969,39656.08569,8.885906454,149.9274819,42.60355256,28.55076809,2064.431229,0.801354625,17.7555442,144.2373978,0.0741,74.3765,35.0749,0.0421
403,23.21,90.87,43,Y,49331.00895,0.220944708,12604.18369,84979.97189,5.748613905,122.4093968,28.63203238,32.26902992,,3.339770739,81.85956787,336.7673954,0.0784,93.4222,,0.0146
410,24.44,90.14,60,Y,,,,,,,,,,,,,,,,
414,23.33,90.63,60,N,,,,,,,,,,,,,,,,
415,24.07,89.94,60,Y,40117.42596,1.347130913,3547.378656,69633.27039,3.197173197,134.7330149,26.64797432,31.25375885,,1.458129183,87.10249203,278.3945452,0.1398,58.3758,9.9452,0.0409
417,23.57,91.54,40,Y,,,,,,,,,,,,,,,,
418,24.05,90.24,65,N,31189.49213,1.052956919,749.8227335,44191.59295,12.77550009,126.9336308,9.89850872,15.32114911,3076.179134,1.683094336,386.8279539,235.091469,0.2987,14.0469,1.8671,0.0132
420,24.17,89.78,60,N,39711.04494,1.202474526,1713.619468,27794.01714,16.44449596,165.0072629,35.21382576,15.77094732,,0.748341028,79.79847875,113.0831382,,,,
421,24.65,90.23,150,N,31906.72895,4.662144628,118.8390736,5328.549284,1.809127546,10.66482929,62.57938827,12.49877375,7747.709326,0.020796707,142.4099676,102.8718353,0.6483,88.4305,0.2375,0.2874
434,23.99,91,105,Y,,,,,,,,,,,,,,,,
475,23.89,91.47,55,Y,38173.48953,1.238197273,3624.439872,90453.41926,8.74624298,156.009654,30.54131442,31.10237437,6294.908008,2.474557631,270.7859739,331.3305706,0.2048,65.4833,9.5707,0.0383
478,23.68,90.14,45,Y,53943.89165,0.229936347,1360.202323,24730.85586,1.159287061,38.31565715,13.69225666,13.91459691,,1.235467372,56.88325695,99.679699,0.0945,13.2254,4.0121,0.0172
481,23.53,90.18,60,Y,,,,,,,,,,,,,,,,
487,24.76,90.01,60,Y,,,,,,,,,,,,,0.2025,27.314,0.1964,0.0394
488,23.77,91.36,45,Y,,,,,,,,,,,,,,,,
493,23.8,90.76,45,Y,,,,,,,,,,,,,,,,
500,23.93,91.63,60,N,,,,,,,,,,,,,,,,
2269,24.67,91.31,135,Y,67174.04615,0.124815413,1431.776061,8845.390026,0.117320277,8.824473538,56.10910545,4.551922659,1060.677925,0.060389684,0.359136271,72.38607063,-0.0102,0.2261,,0.0118
2286,24.27,90.84,45,N,43916.06347,1.915561312,5289.690324,59906.4055,15.24859461,181.4755727,56.38549229,34.69810704,5073.306649,0.800846326,30.65119321,268.4007662,0.1679,97.0292,14.0472,0.0414
2298,23.81,90.63,60,Y,48569.1437,0.565034634,90.93492431,44103.73527,2.649888363,68.59218362,18.73313566,16.50516606,3243.585914,1.875936416,234.8244961,221.8008899,0.1224,28.0304,0.2479,0.1185
2382,24.57,91.55,60,Y,52770.30514,0.495688926,215.6980617,63955.15608,1.640140638,69.2114545,20.4674403,19.60195922,3953.632567,1.86139014,157.8944007,276.8029314,0.2275,47.803,0.5095,0.099
2422,24.62,91.28,40,Y,40382.42571,0.105914961,1520.568032,27164.25335,3.659546934,60.73021792,16.280611,17.32007887,427.3828301,2.280064568,36.37569718,121.4641905,0.113,18.3875,4.3684,0.0146
2424,23.49,90.1,160,Y,,,,,,,,,,,,,0.4539,23.211,0.4629,0.0565
2426,24.12,90.95,45,Y,38252.97007,0.112451044,1239.802778,45294.9244,0.757706921,79.87192389,66.45846954,26.3173547,,1.129614605,34.51449729,126.2241868,0.0733,102.5346,3.3339,0.2433
2432,23.76,89.71,135,Y,,,,,,,,,,,,,,,,
2462,22.97,90.34,30,Y,41607.74526,0.750670834,953.8451774,17835.89948,12.49345368,62.18286453,8.584653122,12.25513293,,1.431431907,87.76462035,89.80654818,0.0739,9.0412,2.847,0.0105
2463,24.53,89.99,45,Y,50611.30503,0.097691756,8090.220344,38351.01776,3.061140604,76.14259528,23.91188052,16.70207479,,1.818353973,21.44300944,128.172215,0.0958,47.2317,24.821,0.0298
2495,23.2,90.29,55,Y,62139.42113,3.459759676,134.0728558,37998.54826,7.047239803,20.94281546,51.37458331,49.4339465,8516.863173,0.123619083,10.83549552,319.5018904,0.158,46.9502,0.1587,0.0994
2497,23.7,91.34,45,Y,,,,,,,,,,,,,,,,
