STATION,NAME,DATE,DASF,MDSF,PRCP,SNOW
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-01,,,0.75,9
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-02,,,0.03,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-03,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-04,,,0.18,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-05,,,0.05,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-06,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-07,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-08,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-09,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-10,,,0.01,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-11,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-12,,,0.85,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-13,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-14,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-15,,,0.04,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-16,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-17,,,0,0.1
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-18,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-19,,,0.15,6
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-20,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-21,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-22,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-23,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-24,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-25,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-26,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-27,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-28,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-29,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-30,,,0.47,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-01-31,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-02-01,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-02-02,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-02-03,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-02-04,,,1.55,1.1
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-02-05,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-02-06,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-02-07,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-02-08,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-02-09,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-02-10,,,0.85,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-02-11,,,0.05,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-02-12,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-02-13,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-02-14,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-02-15,,,2.6,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-02-16,,,0,0
