STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-02-28,,25,17,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-01,,26,4,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-02,,36,19,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-03,,43,28,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-04,,44,19,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-05,,35,11,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-06,,36,20,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-07,,26,20,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-08,,38,26,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-09,,46,32,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-10,,47,38,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-11,,37,28,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-12,,38,27,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-13,,52,33,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-14,,48,34,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-15,,34,25,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-16,,39,26,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-17,,42,31,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-18,,36,24,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-19,,42,34,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-20,,48,32,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-21,,32,21,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-22,,35,21,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-23,,40,32,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-24,,50,35,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-25,,46,33,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-26,,47,39,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-27,,60,48,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-28,,55,41,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-29,,40,39,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-30,,53,40,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-31,,46,38,
