DepthCm,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Br,Rb,Sr,Zr,Mo,Ag,Cd,Sn,Sb,I,Ba,Hg,Pb,Bi,Am241,Cs137
1,13651,3649,3924,6205,1489,815,32,20,472,16815,293,16,14,56,4,1,29,36,39,76,3,17,49,32,35,132,158,3,22,5,78.79,203.82
5,14745,3893,3607,6785,1571,1094,59,25,558,16535,327,22,15,58,4,1,28,37,39,105,3,18,35,33,36,146,158,4,23,7,69.75,183.85
9,12344,4966,2849,6229,1442,1118,31,27,500,15151,233,15,20,59,5,1,42,30,36,66,3,16,30,30,32,120,135,3,29,4,110.13,277.01
13,12623,4215,3119,5287,1227,1001,33,31,466,15327,260,16,25,65,4,1,31,34,40,83,3,17,31,31,34,124,131,3,35,4,,
15,12744,4916,3648,5178,1120,1077,33,40,492,14988,275,16,25,67,6,1,29,31,39,81,3,17,35,32,34,132,154,4,35,8,116.58,611.94
19,12982,4669,3884,3354,771,772,33,34,354,12027,276,17,33,71,5,1,25,34,45,95,3,18,35,34,37,115,111,4,51,6,39.82,685.21
25,12602,3332,3695,5530,1139,1174,34,44,385,14070,316,16,30,77,5,1,27,35,42,67,3,17,47,32,34,121,135,4,49,7,106.39,847.41
29,14385,3696,3288,6954,1715,1362,36,52,406,16114,301,17,48,104,7,1,29,37,44,85,3,17,38,32,35,141,152,4,63,4,47.36,478.34
36,15024,5035,2933,7545,2149,1615,42,63,437,18707,328,25,49,107,6,1,28,38,47,83,3,18,39,33,36,150,211,4,70,6,89.8,397.75
39,12596,3474,5018,3250,608,907,36,37,343,12904,323,18,58,86,6,1,30,34,54,145,3,19,24,34,37,114,135,4,58,8,87.63,160.69
45,10260,2837,4140,1726,107,262,29,13,270,8912,311,15,8,21,3,1,30,34,41,81,3,17,26,32,34,84,73,3,5,7,-6.82,31.36
49,9910,2867,4674,2059,106,371,30,13,240,7141,291,15,8,20,3,1,28,29,47,80,3,17,28,32,35,80,60,3,4,10,5.77,-31.28
