Country,Year,Life expectancy at birth,GDP - per capita (PPP)
Mozambique,2003,31.3,1200
Botswana,2003,32.26,9000
Zambia,2003,35.25,800
Lesotho,2003,36.94,3000
Angola,2003,36.96,1900
Malawi,2003,37.98,600
Zimbabwe,2003,39.01,1900
Rwanda,2003,39.33,1300
Swaziland,2003,39.47,4900
Ethiopia,2003,41.24,700
Central African Republic,2003,41.71,1100
Niger,2003,42.21,800
Cote d'Ivoire,2003,42.65,1400
Namibia,2003,42.77,7200
Sierra Leone,2003,42.84,500
Burundi,2003,43.2,600
Burkina Faso,2003,44.46,1100
Tanzania,2003,44.56,600
Uganda,2003,44.88,1400
Kenya,2003,45.22,1000
Mali,2003,45.43,900
South Africa,2003,46.56,10700
Guinea-Bissau,2003,46.97,800
Afghanistan,2003,46.97,800
Somalia,2003,47.34,500
Cameroon,2003,48.05,1800
Liberia,2003,48.15,1000
Chad,2003,48.51,1200
Congo Democratic Republic of the,2003,48.93,700
Guinea,2003,49.54,2100
Congo Republic of the,2003,50.02,700
Nigeria,2003,51.01,900
Benin,2003,51.08,1100
Haiti,2003,51.61,1600
Mauritania,2003,51.93,1800
Togo,2003,53.43,1500
Bhutan,2003,53.58,1400
Laos,2003,54.3,1700
Gambia The,2003,54.38,1700
Burma,2003,55.79,1800
Madagascar,2003,56.14,800
Senegal,2003,56.37,1600
Ghana,2003,56.53,2200
Gabon,2003,57.12,5500
Sudan,2003,57.73,1900
Cambodia,2003,57.92,1900
Nepal,2003,59,1400
Mayotte,2003,60.6,2600
Yemen,2003,60.97,800
Turkmenistan,2003,61.19,5800
Bangladesh,2003,61.33,1900
Vanuatu,2003,61.71,2900
Pakistan,2003,62.2,2100
Guyana,2003,63.09,4000
Azerbaijan,2003,63.16,3400
Kazakhstan,2003,63.48,6300
India,2003,63.62,2900
Kyrgyzstan,2003,63.66,1600
Mongolia,2003,63.81,1800
Uzbekistan,2003,64,1700
Papua New Guinea,2003,64.19,2200
Tajikistan,2003,64.37,1000
Georgia,2003,64.76,2500
Bolivia,2003,64.78,2400
Moldova,2003,64.88,1800
Guatemala,2003,65.23,4100
Bahamas The,2003,65.71,16700
Sao Tome and Principe,2003,66.28,1200
Ukraine,2003,66.5,5400
Honduras,2003,66.65,2600
Armenia,2003,66.68,3500
Russia,2003,67.66,8900
Iraq,2003,67.81,1500
Dominican Republic,2003,67.96,6000
Belarus,2003,68.43,6100
Saudi Arabia,2003,68.73,11800
Fiji,2003,68.88,5800
Indonesia,2003,68.94,3200
Suriname,2003,69.23,4000
Philippines,2003,69.29,4600
Latvia,2003,69.31,10200
Iran,2003,69.35,7000
Syria,2003,69.39,3300
Trinidad and Tobago,2003,69.59,9500
Lithuania,2003,69.6,11400
Nicaragua,2003,69.68,2300
Morocco,2003,70.04,4000
Vietnam,2003,70.05,2500
Estonia,2003,70.31,12300
Egypt,2003,70.41,4000
Algeria,2003,70.54,6000
El Salvador,2003,70.62,4800
Romania,2003,70.62,7000
Korea North,2003,70.79,1300
Peru,2003,70.88,5100
Brazil,2003,71.13,7600
Colombia,2003,71.14,6300
Thailand,2003,71.24,7400
Gaza Strip,2003,71.4,600
Malaysia,2003,71.67,9000
Mauritius,2003,71.8,11400
Bulgaria,2003,71.8,7600
Turkey,2003,71.8,6700
Barbados,2003,71.84,15700
Ecuador,2003,71.89,3300
Lebanon,2003,72.07,4800
Hungary,2003,72.17,13900
China,2003,72.22,5000
Bosnia and Herzegovina,2003,72.29,6100
Mexico,2003,72.3,9000
Panama,2003,72.32,6300
Albania,2003,72.37,4500
Oman,2003,72.58,13100
Sri Lanka,2003,72.62,3700
West Bank,2003,72.68,1100
Qatar,2003,73.14,21500
New Caledonia,2003,73.52,15000
Bahrain,2003,73.72,16900
Venezuela,2003,73.81,4800
Poland,2003,73.91,11100
Dominica,2003,74.12,5500
Brunei,2003,74.3,23600
Croatia,2003,74.37,10600
Paraguay,2003,74.4,4700
Tunisia,2003,74.4,6900
Slovakia,2003,74.43,13300
Macedonia,2003,74.49,6700
United Arab Emirates,2003,74.75,23200
Czech Republic,2003,75.18,15700
Korea South,2003,75.36,17800
Netherlands Antilles,2003,75.38,11400
French Polynesia,2003,75.45,17500
Argentina,2003,75.48,11200
Slovenia,2003,75.51,19000
Jamaica,2003,75.85,3900
Uruguay,2003,75.87,12800
Libya,2003,76.07,6400
Portugal,2003,76.35,18000
Chile,2003,76.35,9900
Costa Rica,2003,76.43,9100
Kuwait,2003,76.65,19000
French Guiana,2003,76.69,8300
Cuba,2003,76.8,2900
Taiwan,2003,76.87,23400
Denmark,2003,77.1,31100
United States,2003,77.14,37800
Puerto Rico,2003,77.26,16800
Ireland,2003,77.35,29600
Bermuda,2003,77.41,36000
Guadeloupe,2003,77.53,7900
Luxembourg,2003,77.66,55100
Jordan,2003,77.88,4300
Finland,2003,77.92,27400
Isle of Man,2003,77.98,28500
United Kingdom,2003,78.16,27700
Austria,2003,78.17,30000
Belgium,2003,78.29,29100
New Zealand,2003,78.32,21600
Germany,2003,78.42,27600
Malta,2003,78.43,17700
Martinique,2003,78.72,14400
Netherlands,2003,78.74,28600
Greece,2003,78.89,20000
Jersey,2003,78.93,40000
Israel,2003,79.02,19800
Norway,2003,79.09,37800
Spain,2003,79.23,22000
France,2003,79.28,27600
Italy,2003,79.4,26700
Iceland,2003,79.8,30900
Canada,2003,79.83,29800
Hong Kong,2003,79.93,28800
Sweden,2003,79.97,26800
Switzerland,2003,79.99,32700
Guernsey,2003,80.04,40000
Australia,2003,80.13,29000
Singapore,2003,80.42,23700
Japan,2003,80.93,28200
Macau,2003,81.87,19400
Andorra,2003,83.49,26800
