PlantID, TLeaf,RD,RL,RL_RD,Amax,Amax_RL,Amax_RD,Rday,QY,Theta,A1500,SLA,C,N,d13C,d15N,LAI,extinct
s1m,21.89086129,-2.827439348,-3.078525777,1.088803471,13.05801688,-4.241646108,-4.618319006,2.836456397,0.099167006,2.38E-08,8.861312162,4.604,48.697,2.741,-28.64,-0.54,1.14,524.216277
s1n,19.99009617,-1.906457726,-1.686351777,0.884547165,16.71898292,-9.9142914,-8.769658352,1.871357257,0.077664034,0.153902781,12.16002085,4.006,48.956,2.753,-28.47,-0.36,0.72,363.681557
s1o,21.69316218,-2.068668866,-1.718634738,0.830792577,13.66528292,-7.951243285,-6.605833899,1.999212416,0.086460417,0.414833225,10.10268019,5.929,49.329,2.878,-28.75,-0.51,0.78,388.483347
s1p,19.98268274,-2.27115375,-2.000402342,0.880786843,20.74495922,-10.37039339,-9.134106055,2.187625575,0.069445192,0.20831607,14.95749978,4.068,48.842,2.737,-28.53,-0.19,0.4,417.618717
s1q,22.28385581,-1.964451239,-1.32040978,0.672151975,11.70189156,-8.862318151,-5.956824648,1.82905216,0.107117735,0.192256775,8.504219359,4.818,49.007,2.82,-29.04,-0.31,0.96,539.734681
s1r,21.54523204,-2.366336758,-1.914581228,0.80909077,19.30933175,-10.08540743,-8.16001006,2.302668629,0.083233412,0.441549239,14.39547226,4.149,49.007,2.874,-27.99,-0.36,1.25,462.12731
s1s,19.99407533,-1.682326398,-1.63236493,0.970302155,9.626556929,-5.897306878,-5.722169574,1.729996397,0.06715023,0.032102763,6.916972872,4.662,50.102,2.793,-29.03,0.12,2.34,470.954301
s1t,21.59999591,-1.897196043,-1.786729122,0.941773587,20.55252796,-11.50287848,-10.83310712,1.902964095,0.09770327,0.521310495,16.26099284,4.33,50.958,3.064,-28.23,0.71,0.12,332.343509
s1u,20.93021496,-1.958820655,-1.640265479,0.837373996,14.76039,-8.998781105,-7.535345292,1.986805628,0.075072457,0.270679198,11.15392184,5.728,50.309,2.528,-28.76,-0.67,1.36,471.350165
s1w,19.99153702,-1.881068186,-1.589437977,0.844965636,13.81293871,-8.690454683,-7.343135572,1.673092887,0.050331742,0.404183055,9.96616133,4.045,50.511,2.941,-28.36,0.21,0.88,423.031452
s1x,21.80868369,-2.104883725,-1.841656495,0.874944527,19.76675363,-10.73313817,-9.390900502,2.129596493,0.083364294,0.113770215,14.58542152,2.952,50.111,2.921,-29.32,0,0.8,309.799215
s1y,19.99446612,-2.09234913,-2.005595358,0.958537621,4.732785666,-2.359790896,-2.261948352,2.128377912,0.088645883,0.27911628,2.314071537,2.964,49.674,2.781,-29.08,-0.26,0.54,645.40643
s1z,21.55756371,-1.41585992,-1.522691849,1.075453742,14.91087707,-9.792445582,-10.53132224,1.498999834,0.085656881,0.266019912,11.63848893,4.239,47.832,2.524,-28.87,-0.29,1.62,409.560563
s2a,21.85552736,-3.088123724,-2.577967753,0.83480067,10.21633356,-3.962940789,-3.308265624,3.001241655,0.100472565,0.547888746,6.396200817,3.652,51.937,2.232,-26.58,-0.65,0.07,572.813214
s2b,21.6383835,-2.826521682,-2.934566771,1.038225459,11.34862039,-3.867221732,-4.015048058,2.701540844,0.069259554,0.698542154,7.345492484,3.142,50.752,2.453,-28.33,-1.04,1.72,345.365327
s2c,19.99674071,-2.351262069,-2.106914107,0.896077955,15.83619359,-7.516297668,-6.735188646,2.07838151,0.053185801,0.542191942,11.75982059,3.916,50.696,2.723,-27.91,-1.94,1.37,393.11927
s2d,21.59822772,-3.420494647,-2.748735485,0.803607597,21.54872982,-7.839506543,-6.299887017,3.403026049,0.12282226,0.245905696,15.50321785,3.017,48.299,2.335,-28.06,-1.21,1.19,308.937924
s2e,19.99245394,-2.092937713,-2.065706299,0.986988904,14.94528839,-7.234953196,-7.140818524,1.993281052,0.055430517,0.514854109,11.1196685,3.925,51.498,2.573,-27.04,-1.11,0,280.034764
s2f,21.46204919,-3.00494288,-2.309265558,0.768489003,18.31544528,-7.931285866,-6.095105968,2.748947981,0.074065577,0.436989452,13.27607756,2.862,50.654,2.467,-27.69,-1.19,0.66,167.471187
s2g,21.80976061,,-2.175815254,0.001387901,,,,,428.8708104,0.999956928,10.97074873,3.513,,2.598,,-0.79,0.74,390.336504
s2h,19.98395164,,-1.772465808,0.897051045,,,,,494.2301014,1,7.68482805,2.95,51.477,2.558,-27.09,-0.17,0.53,372.965624
s2i,19.98514161,,-0.738124306,0.59969818,,,,,11701.10304,0.007066479,5.97105906,3.056,50.552,2.408,-27.56,0.28,0.22,361.10465
s2j,21.52644766,-2.697575945,-2.078948224,0.770672732,18.04291949,-8.678869094,-6.688567758,2.386937846,0.08475068,0.002970557,13.21108283,3.566,51.071,2.665,-27.56,-0.12,0.23,424.088765
s2k,21.96085673,-2.589918184,-2.533595878,0.978253249,13.71689221,-5.414001629,-5.296264683,2.547210545,0.09741203,0.002970898,9.491370383,3.103,50.896,2.563,-27.07,3.51,1.27,490.810677
s2l,21.69592491,-1.496258209,-1.564063414,1.045316513,8.205101036,-5.246015579,-5.483746713,1.52975102,0.045316289,0.003873074,5.354137099,3.071,51.45,2.44,-26.63,0.41,0,355.034362
s2m,19.97906017,-1.915216099,-1.658500366,0.865959913,2.589422417,-1.561303494,-1.352026238,2.064899544,0.071208183,0.003879563,0.391182659,2.876,51.251,2.378,-26.95,-0.77,0.08,537.409328
s2n,21.65848893,-2.806923799,-2.845878719,1.013878153,16.1060325,-5.659423359,-5.737965707,2.798626337,0.066521563,0.405737849,11.31808737,3.707,51.577,2.971,-26.16,-0.05,0.19,198.593019
s2o,19.9879939,-1.034851039,-1.150661322,1.1119101,7.318037013,-6.359853132,-7.071584931,0.994737307,0.026374009,0.449371062,5.311270764,2.449,50.446,2.603,-27.51,-0.38,2.12,499.300149
s2p,22.00936317,-1.937183236,-1.751140997,0.903962498,9.105349397,-5.199666625,-4.70030363,1.796571635,0.047077691,0.511777474,6.52566986,3.08,50.365,2.542,-28.63,-0.94,1.72,443.320781
s2q,22.12923607,-2.423040394,-2.405235982,0.992652037,14.89544961,-6.192926483,-6.147421086,2.387780052,0.075299617,0.358340548,10.50078016,2.59,49.352,3.03,-27.84,-0.06,0.2,274.454601
s2r,19.9857659,-2.361913987,-3.040078386,1.287124934,13.09415793,-4.307177733,-5.543875857,2.453480064,0.052690083,0.578488838,9.271722424,3.032,51.657,2.444,-27.93,0.03,0.24,390.574895
s2s,22.18879832,-3.055002415,-2.995911235,0.980657567,9.293492177,-3.102058589,-3.042057228,3.049999476,0.051994252,0.107216118,4.982501021,3.415,51.243,2.589,-26.89,-0.19,0.03,425.112958
s2t,22.01871263,-3.078175413,-2.085536951,0.677523751,17.21554589,-8.254730697,-5.592776103,3.062183508,0.104712128,0.298136044,12.16855802,2.84,50.411,2.548,-27.48,-0.4,0.22,307.685232
s2u,19.97961609,-2.224793465,-1.977899127,0.889025951,10.98380501,-5.553268546,-4.936999853,1.630181365,0.040115291,1,10.10975642,3.378,51.109,2.801,-27.23,0.12,0.73,358.835285
s2v,22.19329981,-3.478090326,-2.506523277,0.720660777,4.111002314,-1.640121339,-1.181971119,3.519494959,0.092629197,0.697785749,0.57356124,3.33,50.743,2.24,-26.83,-0.36,0.36,551.616179
s2w,19.98092629,-2.684958407,-2.053426638,0.764788994,15.87634887,-7.731636756,-5.913070694,2.751275876,0.065485822,0.179447942,10.518458,3.102,51.37,2.734,-27.44,0.34,0.31,349.374681
s2x,22.20143039,-2.932725682,-2.755917908,0.939712134,17.53204541,-6.361599291,-5.978072043,2.924376966,0.0741167,0.282943339,11.99030645,2.95,51.159,2.406,-27.47,0.12,0.83,343.704264
s2y,19.9694833,-2.069160004,-1.768513799,0.854701326,13.85148317,-7.832273165,-6.694254259,2.122993202,0.060914108,0.443092949,10.00597742,3.705,50.599,2.613,-27.55,-0.06,0,381.307209
s2z,22.3905812,-3.466467511,-2.08377564,0.601123661,14.0299638,-6.73295317,-4.047337457,3.233344102,0.125462003,0.00000472,9.187119979,3.834,51.686,2.911,-26.6,-0.04,0.24,217.693427
S3A,21.07978843,-3.775038601,-3.486343266,0.923525196,12.6080945,-3.616423725,-3.339858431,3.864729118,0.10432428,0.0000115,7.411955107,2.94,51.412,2.718,-28.16,1.25,0.09,320.40023
s3b,19.98474004,-1.422060377,-1.360291091,0.956563528,14.5651642,-10.70738778,-10.24229663,1.384673791,0.050535006,0.488151376,11.26507052,2.89,51.068,2.505,-28.77,1.24,1.27,551.165111
s3c,20.90359424,-1.801843094,-1.218262963,0.67612045,17.37484621,-14.26198345,-9.64281866,1.74959134,0.071537018,0.235548389,13.07160075,3.25,51.233,2.823,-28.48,1.79,0.87,475.286572
S3D,21.02033681,-2.458595456,-2.131649322,0.867019142,21.84624172,-10.24851578,-8.885659358,2.544516266,0.108966286,0.0000115,15.78353148,2.83,52.268,2.513,-28.65,1.12,0.54,323.261235
s3e,,,,,,,,,,,,,,,,,,226.033704
s3f,20.85306659,-2.171327988,-2.149251662,0.9898328,11.84756557,-5.512414288,-5.456368469,2.128429714,0.090244123,3.02E-08,8.124612521,2.94,51.934,2.62,-28.8,1.01,3.84,517.21647
s3g,19.9810948,-1.708392681,-1.737323097,1.01693429,10.45085785,-6.015494681,-6.117362809,1.654463627,0.058181053,0.463823321,7.921845084,2.13,51.674,2.613,-29.55,0.79,0.88,488.607137
S3H,21.00592114,-2.873477072,-2.507961362,0.872796719,17.48723281,-6.972688286,-6.085739462,2.873332613,0.0875553,0.0000115,11.68010809,2.59,52.491,2.691,-28.53,0.82,0.08,238.691112
s3i,19.98024669,-1.464844352,-1.250276743,0.853521905,7.376024911,-5.899513809,-5.03536427,1.504384745,0.049395405,0.449572458,5.281421258,2.21,51.427,2.462,-29.58,1.74,1.18,538.039489
s3j,21.25963079,-2.751601122,-2.268165862,0.824307653,11.02086972,-4.858934659,-4.005257024,2.801657814,0.076858882,0.00000787,6.785326313,2.7,52.525,2.752,-28,1.56,0.06,280.823479
s3k,21.11008864,-3.279233726,-2.243994087,0.684304406,,,,3.058270493,0.109778898,0.394846661,12.11626889,3.59,52.153,2.858,-28.48,2.06,0.08,243.051381
s3L,20.90013614,-2.084197097,-1.749919362,-0.839613185,,,,2.196695992,0.107132172,0.00000319,6.201994833,1.92,52.126,2.509,-29.1,0.78,1.49,596.307902
s3m,21.22701755,-1.893347451,-1.884863724,0.995519192,8.567164008,-4.545243191,-4.524876828,1.973545518,0.077777057,0.251878686,6.042649065,2.54,52.115,2.577,-29.06,1.17,1.43,500.459121
S3N,19.97635533,-3.322711512,-2.931387275,0.882227441,7.323104601,-2.498170291,-2.203954383,3.335801549,0.090841772,0.0000115,3.523527601,3.38,52.943,2.661,-28.26,1.23,0.1,651.033337
s3o,19.98185415,-2.687952688,-2.301468541,0.856216165,11.90386305,-5.172290143,-4.428598429,2.464985159,0.058805395,6.86E-08,7.528123762,3.84,52.783,3.117,-27.94,2.4,0.14,313.656153
s3p,21.08950886,-1.911380624,-1.46523735,0.766585855,12.72082909,-8.681753226,-6.65530922,1.98824327,0.067947498,0.383037132,9.296014299,2.62,51.747,2.665,-29.14,2.15,1.92,578.870574
s3q,20.82885977,-3.320065428,-4.450310146,1.340428447,13.00833017,-2.923016541,-3.918094523,3.442588749,0.080626805,0.634802664,9.00857043,2.89,51.771,2.975,-28.19,2.38,0.18,284.591172
s3r,20.46115391,-3.829434704,-3.9068312,1.020210945,12.6884093,-3.247749557,-3.313389646,3.939831894,0.076053186,0.472549161,7.823276221,2.36,53.06,3.042,-27.16,1.45,0.01,136.946153
s3s,20.90484069,-2.645252746,,2.657594064,16.67613666,,-6.304175163,2.531766198,0.125426623,0.0000125,9.428730158,2.7,52.244,2.728,-28.54,1.66,0.25,273.652476
s3t,19.97873834,-1.775270161,-1.605728687,0.904498213,14.08544411,-8.77199506,-7.93425385,1.727868999,0.069836985,0.0000125,10.06257282,3.2,51.795,2.776,-29.08,1.81,0.34,301.16087
s3u,19.93264242,-1.824412461,-2.32681776,1.275379231,10.5545776,-4.536056833,-5.785192672,2.039282635,0.080663464,0.0000125,7.194953575,2.57,45.988,2.395,-28.7,0.97,0.12,539.185949
s3v,20.05520292,-1.805525662,-1.711037755,0.94766737,14.76756391,-8.630764498,-8.17909389,2.084833077,0.083919808,0.0000125,10.25807776,3.26,52.475,2.804,-28.13,0.98,2.99,315.167805
s3w,19.87445993,-1.924462937,-1.460196787,0.758755474,13.1106627,-8.97869576,-6.812634553,2.073236275,0.092704626,0.0000125,5.126499534,2.59,52.488,3.08,-28.36,1.88,0.5,178.261673
s3x,20.17525908,-2.535180863,-2.532946679,0.999118728,19.9320097,-7.869099601,-7.862164783,2.598691139,0.077838334,0.0000125,13.42952171,3.22,51.786,2.978,-27.69,2.09,0.05,124.929772
s3y,20.19113827,-1.302195512,-3.170688041,2.434878644,17.07374289,-5.384869993,-13.11150494,3.203027162,0.182802471,0.0000125,11.58077228,2.85,50.346,2.463,-29.3,0.6,1.43,545.588344
s3z,19.96501152,-2.119575897,-2.028265516,0.956920448,8.740928467,-4.309558289,-4.123904447,2.266089717,0.073777907,0.0000125,4.700580949,3.23,51.919,2.614,-28.46,1.61,0.35,503.391283
S4A,20.64777228,-1.450494607,-1.559598669,1.075218524,11.80819416,-7.57130305,-8.140805283,1.704852174,0.061811992,0.0000115,7.978882618,4.154,50.373,2.949,-28.33,-1.19,0.57,
S4B,19.97906157,-1.981757621,-2.029163841,1.023921301,26.18443465,-12.90405147,-13.21273317,1.985331115,0.064516651,0.0000115,17.11168268,3.185,50.201,2.584,-28.51,-0.7,0.2,
S4C,21.26111104,-2.858034468,-2.082985192,0.72881738,19.68957649,-9.452576315,-6.889201901,2.909852563,0.119706539,0.0000115,13.78441726,2.911,50.819,2.46,-28.42,-1.2,0.06,
S4D,21.09444229,-1.994882642,-1.968699462,0.986874827,20.15120402,-10.23579495,-10.10144837,2.292050379,0.077024863,0.0000115,13.77138037,3.451,50.138,2.685,-28.3,-1.58,1.49,
S4E,21.33601893,-3.176712764,-2.759000307,0.868507955,16.02478906,-5.808186762,-5.044456408,3.333739026,0.108632286,0.0000115,10.50897295,2.608,50.168,2.726,-28.09,-0.27,1.56,
S4F,19.97456338,-2.417789379,-2.19092659,0.906169333,26.65789786,-12.16740806,-11.02573206,2.402656996,0.066245266,0.0000115,17.24393366,3.059,51.014,2.785,-28.11,-0.83,0.08,
S4G,21.14286254,-3.049075356,-2.690422404,0.882373208,22.21907557,-8.258582569,-7.287151997,2.824470148,0.091733681,0.0000115,15.4561296,3.237,51.77,2.767,-28.12,-1.06,0.69,
S4H,19.9744493,-1.881954814,-3.257876474,1.731113016,20.94606031,-6.429359884,-11.12994858,2.024296554,0.062376129,0.0000115,13.85888817,3.255,50.455,2.308,-29.18,-1.14,0.71,
S4I,19.9725644,-2.982220584,-2.50311428,0.839345786,22.31783507,-8.916027226,-7.48362988,2.898856229,0.075984873,0.0000115,14.67542387,3.834,51.288,2.777,-27.59,0.4,0.77,
S4J,21.31574315,-2.107745,-2.375011399,1.126802056,21.67858112,-9.12777982,-10.28520107,2.248053154,0.089277422,0.0000115,15.54787171,3.728,49.767,2.712,-28.31,-1.21,1.38,
S4K,21.41048483,-2.107237371,-1.946014639,0.923490949,22.0045181,-11.3074782,-10.44235377,2.398115059,0.084793227,0.0000115,15.08112566,5.515,52.118,3.183,-28.31,-0.2,0.07,
S4L,19.9708227,-1.630979242,-12.9061433,7.913125418,21.75607563,-1.685714712,-13.33927194,4.870179139,0.114459331,0.0000115,14.89389924,3.174,51.047,2.859,-28.77,0.28,0.91,
S4M,21.46584885,-2.724205945,-2.778854014,1.020060183,17.10913752,-6.156904045,-6.280412665,2.969215588,0.12653161,0.0000115,12.04053187,3.899,49.543,2.685,-28.83,-1.05,0.89,
S4N,21.47834418,-2.092560957,-1.842125267,0.880320958,19.23707251,-10.44286882,-9.193076286,2.285273521,0.078491457,0.0000115,13.29677794,5.506,51.041,3.288,-28.09,0.07,0.93,
S4O,21.58131255,-2.884863661,-2.799020929,0.970243747,20.84124163,-7.445904178,-7.224341972,3.107052547,0.129013616,0.0000115,14.42227388,3.533,49.72,3.126,-28.35,-0.89,0.18,
S4P,21.57702776,-1.797507631,-1.291678782,0.718594325,4.706196426,-3.643472736,-2.61817883,2.122268677,0.158097242,0.0000115,2.298347315,4.483,,,,,0.91,
S4Q,21.59614981,-2.165345566,-1.785336454,0.824504172,21.45488403,-12.01727774,-9.90829564,2.347071949,0.086655105,0.0000115,14.92512657,3.403,,,,,0.23,
S4R,21.75224598,-3.801766627,-4.189759664,1.102055985,22.23788819,-5.307676328,-5.849356463,4.100032863,0.137626063,0.0000115,14.36866792,2.341,50.538,2.767,-28.22,-0.97,0.15,
S4S,19.98902079,1.006326716,1.556599223,1.546812977,18.90074694,12.14233353,18.78191907,-0.79889699,0.070555992,0.0000115,15.92571826,3.466,49.212,2.616,-28.99,-1.45,0.15,
S4T,20.85772426,-0.629488124,-0.540844385,0.859181237,16.42167498,-30.36303128,-26.08734677,0.594525889,0.10434463,0.0000115,13.68813555,4.195,49.999,2.755,-27.93,-0.46,0.59,
