Well_ID,Lat,Lon,Depth,Drink,Si,P,S,Ca,Fe,Ba,Na,Mg,K,Mn,As,Sr,F,Cl,SO4,Br
2,23.78885,90.652767,50,N,,,,,,,,,,,,,,,,
14,23.78795,90.651417,60,N,30605.53,1.55612,4168.52,66756.16,12.7931,178.87,33.18036,25.1,4102.56,1.64,248.93,298.24,0.2361,64.4598,11.8111,0.0413
23,23.788917,90.651083,45,N,31319.48,1.16255,38.3,60905.16,22.41756,176.02,14.11491,21.7,3372.45,1.56,112.37,251.66,0.2567,35.4774,0.1471,0.0363
83,23.78515,90.645917,60,Y,31667.94,0.45249,4643.03,53034.03,3.67139,83.08,15.00418,21.9,3177.77,1.38,44.62,212.16,,,,
84,23.7844,90.645383,60,Y,25561.12,0.09057,13771.37,57630.63,1.49835,73.23,19.72336,33.74,3958.51,1.2,17.39,215.75,,,,
93,23.7834,90.601217,130,Y,44067.09,0.08826,780.43,24009.47,0.01063,24.5,58.63951,13.89,1616.86,0,0.12,188.27,0.4,44.9569,2.1947,0.1329
101,23.782117,90.6007,55,Y,25777.85,1.12134,12384,65864.86,16.53784,199.21,49.44986,24.37,5524.53,2.01,308.88,367.39,0.2568,81.816,35.8565,0.0895
107,23.78125,90.600283,45,Y,27427.54,0.66829,9255.33,41469.41,3.23187,85.54,62.48914,16.09,3962.79,0.98,244,199.9,0.2216,63.7562,26.701,0.0606
110,23.786817,90.604633,85,Y,21671.47,0.11859,5180.32,38201.12,6.16851,141.1,30.21258,15.5,11442.86,1.13,19.37,152.77,0.1041,35.8111,15.023,0.0415
112,23.787683,90.606,45,Y,25270.46,0.57758,17330.71,49069.75,14.03652,195.24,67.73957,29.85,4598.47,2.91,111.78,181.37,0.1317,76.9407,50.6488,0.0504
116,23.787067,90.605367,175,Y,39576.23,0.00821,553.48,9367.64,0.09201,60.68,51.28317,4.59,1226.1,0.72,2.42,82.26,0.5725,30.6349,1.6495,0.1071
130,23.78305,90.626567,40,Y,27751.6,0.09024,3329.08,16408.06,3.30719,52.23,9.16163,9.65,2679.17,1.03,26.98,76.67,0.0965,21.5095,9.8701,0.0134
153,23.784817,90.627883,47,Y,19142.28,0.0197,5103.23,16388.14,3.62523,72.59,35.10729,11.1,3459.38,0.5,1.17,69.85,0.1743,42.9746,14.7733,0.0199
156,23.7845,90.6277,47,Y,26424.56,0.08829,6212.73,22269.21,8.69919,89.21,16.83181,14.97,3424.88,0.51,19.46,85.75,0.1214,41.9085,18.5546,0.0201
166,23.783833,90.625933,42,Y,25269.88,0.66572,74.32,30535.93,28.49234,122.31,24.83728,14.28,7081.29,1.25,31.69,117.91,0.1934,39.3179,0.2404,0.0379
173,23.783683,90.625667,45,Y,24281.24,0.8379,1018.98,32088.39,15.55436,95.47,20.37708,17.59,3237.5,0.49,21.74,98.34,0.1403,39.348,2.7519,0.0263
176,23.783833,90.625517,46,Y,25559.94,0.76627,318.7,41034.07,12.65439,109.73,28.28591,24.83,3774.4,1.13,40.08,136.21,0.1547,51.226,0.7878,0.0327
205,23.780667,90.624617,35,Y,,,,,,,,,,,,,,,,
214,23.780917,90.623533,47,Y,34544.07,0.10865,3907.51,31361.18,4.48503,94.34,17.81905,19.23,5426.3,0.97,30.64,122.71,0.0678,57.0175,11.8518,0.0255
217,23.78165,90.6239,160,Y,32379.64,0.19738,3669.43,39790.24,0.3412,77.77,26.29928,13.33,1850.53,0.34,0.13,331.9,0.3976,57.0935,10.4236,0.0391
233,23.782317,90.622633,46,Y,30255.56,0.16904,3917.16,30007.06,1.53041,61.67,17.23064,15.44,3472.86,2.12,74.33,137.25,0.1378,29.6586,11.3151,0.0296
